msa_annotate_test.pl: ./msa_annotate_test.pl 1.1.7 executing 02/07/2013 11:59:39
msa_annotate_test.pl: command='./msa_annotate_test.pl '
msa_annotate_test.pl: Found both input directory './test' and output directory './test/output'.
msa_annotate_test.pl: from Input directory: ./test, found 268 gbk files.
loadTaxonTable: loaded 19187 lines from file './Annotate_taxon_records.txt'
 Testing #1,   Arenaviridae,   AY746353.gb    Test #1,   Arenaviridae,   AY746353.gb,  pass
 Testing #2,   Arenaviridae,   JF446285.gb    Test #2,   Arenaviridae,   JF446285.gb,  pass
 Testing #3,   Arenaviridae,   JF446286.gb    Test #3,   Arenaviridae,   JF446286.gb,  pass
 Testing #4,   Arenaviridae,   JF446298.gb    Test #4,   Arenaviridae,   JF446298.gb,  pass, comment=No polyprotein: Found 1 CDS, but doesnot align with refseq
 Testing #5,   Bunyaviridae,   AB127995.gb    Test #5,   Bunyaviridae,   AB127995.gb,  pass
 Testing #6,   Bunyaviridae,   AF427325.gb    Test #6,   Bunyaviridae,   AF427325.gb,  pass
 Testing #7,   Bunyaviridae,   NC_005220.gb   Test #7,   Bunyaviridae,   NC_005220.gb, pass
 Testing #8,   Caliciviridae,  AB039781.gb    Test #8,   Caliciviridae,  AB039781.gb,  pass
 Testing #9,   Caliciviridae,  AB042808.gb    Test #9,   Caliciviridae,  AB042808.gb,  pass
 Testing #10,  Caliciviridae,  AF093797.gb    Test #10,  Caliciviridae,  AF093797.gb,  pass
 Testing #11,  Caliciviridae,  AY560114.gb    Test #11,  Caliciviridae,  AY560114.gb,  pass
 Testing #12,  Caliciviridae,  AY560117.gb    Test #12,  Caliciviridae,  AY560117.gb,  pass
 Testing #13,  Caliciviridae,  EF558585.gb    Test #13,  Caliciviridae,  EF558585.gb,  pass
 Testing #14,  Caliciviridae,  GQ166866.gb    Test #14,  Caliciviridae,  GQ166866.gb,  pass
 Testing #15,  Caliciviridae,  GQ180108.gb    Test #15,  Caliciviridae,  GQ180108.gb,  pass
 Testing #16,  Caliciviridae,  GQ475301.gb    Test #16,  Caliciviridae,  GQ475301.gb,  pass
 Testing #17,  Caliciviridae,  JF320650.gb    Test #17,  Caliciviridae,  JF320650.gb,  pass
 Testing #18,  Caliciviridae,  M87661.gb      Test #18,  Caliciviridae,  M87661.gb,    pass
 Testing #19,  Caliciviridae,  U15301.gb      Test #19,  Caliciviridae,  U15301.gb,    pass
 Testing #20,  Coronaviridae,  AB257344.gb    Test #20,  Coronaviridae,  AB257344.gb,  pass
 Testing #21,  Coronaviridae,  AB354579.gb    Test #21,  Coronaviridae,  AB354579.gb,  pass
 Testing #22,  Coronaviridae,  AF201929.gb    Test #22,  Coronaviridae,  AF201929.gb,  pass
 Testing #23,  Coronaviridae,  AF220295.gb    Test #23,  Coronaviridae,  AF220295.gb,  pass
 Testing #24,  Coronaviridae,  AJ311317.gb    Test #24,  Coronaviridae,  AJ311317.gb,  pass
